id,jurisdiction_code,jurisdiction_name,region,urbanisation_index,service_category,service_category_full,regulated_scope,can_medication_administer,can_transfer_assist,can_bathing_toileting,can_wound_care_basic,can_catheter_ostomy,can_housekeeping,can_meal_prep,regulating_body,training_hours_min,certification_required,private_pay_rate_cad_low,private_pay_rate_cad_median,private_pay_rate_cad_high,agency_markup_typical,subsidized_program_name,subsidized_program_source_id,subsidized_program_url,subsidized_eligibility,subsidy_max_hours_per_week,subsidy_waitlist_typical_days,employer_obligations_private_hire,source_ids,source_retrieved_date,notes
48,NB,New Brunswick,Atlantic,medium,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,32.68,44.29,55.9,1.28,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;gnb-extra-mural-program,2026-04-09,
49,NL,Newfoundland and Labrador,Atlantic,medium,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,Eastern Health Personal Care Attendant Program,450,Program-based,23.4,29.7,36.0,1.3,Newfoundland and Labrador Home Support Program,nlh-home-care,https://www.nlhealthservices.ca/find-care/community-based-care/home-support-program/,Regional Health Authority; financial assessment,10,45,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nlh-home-care,2026-04-09,
50,NL,Newfoundland and Labrador,Atlantic,medium,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,College of Licensed Practical Nurses of Newfoundland and Labrador (CLPNNL),3500,Mandatory,34.2,45.0,55.8,1.3,Newfoundland and Labrador Home Support Program,nlh-home-care,https://www.nlhealthservices.ca/find-care/community-based-care/home-support-program/,Regional Health Authority; financial assessment,10,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nlh-home-care,2026-04-09,
51,NL,Newfoundland and Labrador,Atlantic,medium,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Registered Nurses of Newfoundland and Labrador (CRNNL),5400,Mandatory,48.6,67.05,85.5,1.3,Newfoundland and Labrador Home Support Program,nlh-home-care,https://www.nlhealthservices.ca/find-care/community-based-care/home-support-program/,Regional Health Authority; financial assessment,10,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nlh-home-care,2026-04-09,
52,NL,Newfoundland and Labrador,Atlantic,medium,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,19.8,25.2,30.6,1.3,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;nlh-home-care,2026-04-09,
53,NL,Newfoundland and Labrador,Atlantic,medium,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,19.8,26.1,32.4,1.3,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;nlh-home-care,2026-04-09,
54,NL,Newfoundland and Labrador,Atlantic,medium,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,34.2,46.35,58.5,1.3,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;nlh-home-care,2026-04-09,
55,PE,Prince Edward Island,Atlantic,low,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,Health PEI Resident Care Worker Program,450,Program-based,21.84,27.72,33.6,1.28,Health PEI Home Care,pei-home-care,https://www.princeedwardisland.ca/en/information/health-pei/home-care,"Universal; no user fee for nursing, income-tested for home support",8,30,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;pei-home-care,2026-04-09,
56,PE,Prince Edward Island,Atlantic,low,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Association of Prince Edward Island Licensed Practical Nurses,3500,Mandatory,31.92,42.0,52.08,1.28,Health PEI Home Care,pei-home-care,https://www.princeedwardisland.ca/en/information/health-pei/home-care,"Universal; no user fee for nursing, income-tested for home support",8,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;pei-home-care,2026-04-09,
57,PE,Prince Edward Island,Atlantic,low,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Registered Nurses of Prince Edward Island,5400,Mandatory,45.36,62.58,79.8,1.28,Health PEI Home Care,pei-home-care,https://www.princeedwardisland.ca/en/information/health-pei/home-care,"Universal; no user fee for nursing, income-tested for home support",8,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;pei-home-care,2026-04-09,
58,PE,Prince Edward Island,Atlantic,low,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,18.48,23.52,28.56,1.28,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;pei-home-care,2026-04-09,
59,PE,Prince Edward Island,Atlantic,low,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,18.48,24.36,30.24,1.28,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;pei-home-care,2026-04-09,
60,PE,Prince Edward Island,Atlantic,low,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,31.92,43.26,54.6,1.28,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;pei-home-care,2026-04-09,
61,YT,Yukon,North,low,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,Yukon Health and Social Services Home Care Program,380,Program-based,31.72,40.26,48.8,1.45,Yukon Home Care Program,yukon-home-care,https://yukon.ca/en/health-and-wellness/care-services/apply-home-care,"Territorial; universal access, limited provider capacity",10,20,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;yukon-home-care,2026-04-09,
62,YT,Yukon,North,low,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Yukon Registered Nurses Association (LPN registry),3500,Mandatory,46.36,61.0,75.64,1.45,Yukon Home Care Program,yukon-home-care,https://yukon.ca/en/health-and-wellness/care-services/apply-home-care,"Territorial; universal access, limited provider capacity",10,20,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;yukon-home-care,2026-04-09,
63,YT,Yukon,North,low,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Yukon Registered Nurses Association,5400,Mandatory,65.88,90.89,115.9,1.45,Yukon Home Care Program,yukon-home-care,https://yukon.ca/en/health-and-wellness/care-services/apply-home-care,"Territorial; universal access, limited provider capacity",10,20,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;yukon-home-care,2026-04-09,
64,YT,Yukon,North,low,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,26.84,34.16,41.48,1.45,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;yukon-home-care,2026-04-09,
65,YT,Yukon,North,low,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,26.84,35.38,43.92,1.45,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;yukon-home-care,2026-04-09,
66,YT,Yukon,North,low,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,46.36,62.83,79.3,1.45,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;yukon-home-care,2026-04-09,
67,NT,Northwest Territories,North,low,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,GNWT Department of Health and Social Services,380,Program-based,35.1,44.55,54.0,1.5,NWT Home and Community Care,gnwt-home-community-care,https://www.hss.gov.nt.ca/en/services/home-and-community-care,Universal; community-based delivery,8,25,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gnwt-home-community-care,2026-04-09,
68,NT,Northwest Territories,North,low,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Registered Nurses Association of the Northwest Territories and Nunavut,3500,Mandatory,51.3,67.5,83.7,1.5,NWT Home and Community Care,gnwt-home-community-care,https://www.hss.gov.nt.ca/en/services/home-and-community-care,Universal; community-based delivery,8,25,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gnwt-home-community-care,2026-04-09,
69,NT,Northwest Territories,North,low,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Registered Nurses Association of the Northwest Territories and Nunavut,5400,Mandatory,72.9,100.58,128.25,1.5,NWT Home and Community Care,gnwt-home-community-care,https://www.hss.gov.nt.ca/en/services/home-and-community-care,Universal; community-based delivery,8,25,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gnwt-home-community-care,2026-04-09,
70,NT,Northwest Territories,North,low,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,29.7,37.8,45.9,1.5,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;gnwt-home-community-care,2026-04-09,
71,NT,Northwest Territories,North,low,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,29.7,39.15,48.6,1.5,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;gnwt-home-community-care,2026-04-09,
72,NT,Northwest Territories,North,low,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,51.3,69.53,87.75,1.5,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;gnwt-home-community-care,2026-04-09,
73,NU,Nunavut,North,low,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,GN Department of Health,380,Program-based,39.0,49.5,60.0,1.55,Nunavut Home and Community Care,gn-home-community-care,https://www.gov.nu.ca/health/information/home-and-community-care,Community-based; limited capacity outside Iqaluit,6,30,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gn-home-community-care,2026-04-09,
74,NU,Nunavut,North,low,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Registered Nurses Association of the Northwest Territories and Nunavut,3500,Mandatory,57.0,75.0,93.0,1.55,Nunavut Home and Community Care,gn-home-community-care,https://www.gov.nu.ca/health/information/home-and-community-care,Community-based; limited capacity outside Iqaluit,6,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gn-home-community-care,2026-04-09,
75,NU,Nunavut,North,low,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Registered Nurses Association of the Northwest Territories and Nunavut,5400,Mandatory,81.0,111.75,142.5,1.55,Nunavut Home and Community Care,gn-home-community-care,https://www.gov.nu.ca/health/information/home-and-community-care,Community-based; limited capacity outside Iqaluit,6,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gn-home-community-care,2026-04-09,
76,NU,Nunavut,North,low,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,33.0,42.0,51.0,1.55,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;gn-home-community-care,2026-04-09,
77,NU,Nunavut,North,low,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,33.0,43.5,54.0,1.55,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;gn-home-community-care,2026-04-09,
78,NU,Nunavut,North,low,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,57.0,77.25,97.5,1.55,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;gn-home-community-care,2026-04-09,
79,CA-FED,Canada — Veterans Affairs,Federal,n/a,VAC_VIP,Veterans Independence Program,"VAC-funded home support services (housekeeping, grounds maintenance, personal care, professional health care) for eligible veterans and survivors. Contracted through provincial agencies or reimbursed to veterans directly.",False,True,True,False,False,True,True,Veterans Affairs Canada,0,Per service contractor,0.0,0.0,0.0,0.0,Veterans Independence Program (VIP),vac-vip-2026,https://www.veterans.gc.ca/en/health-support/physical-health-and-wellness/compensation-illness-injury/veterans-independence-program,Eligible veterans and primary caregivers; survivors under specified conditions,0.0,30,N/A — VIP reimburses documented expenses,vac-vip-2026,2026-04-09,Reimbursement up to annual ceiling; consult VAC for current amounts
80,CA-FED,Canada — First Nations and Inuit,Federal,n/a,FNIHB_HCC,FNIHB Home and Community Care Program,"Home and community care services for status First Nations and recognized Inuit communities, delivered through band or community-level service providers under ISC funding agreements.",True,True,True,True,True,True,True,Indigenous Services Canada — FNIHB,0,Per community provider,0.0,0.0,0.0,0.0,First Nations and Inuit Home and Community Care Program,isc-fnihb-home-community-care,https://www.sac-isc.gc.ca/eng/1100100035250/1533317440443,Status First Nations and recognised Inuit community residents,0.0,14,N/A — community/band is employer of record,isc-fnihb-home-community-care,2026-04-09,Covered service scope varies by community and funding agreement
